domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
SprT-like	PF10263	CL0126	SprT-like family	104.0	50.57
NAD_Gly3P_dh_C	PF07479	CL0106	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus	142.0	184.21
R3H	PF01424	CL0879	R3H domain	61.0	58.89
DUF4130	PF13566		Domain of unknown function (DUF4130	160.0	131.45
DHH	PF01368	CL0137	DHH family, N-terminal domain	157.0	79.54
Ribosomal_S2	PF00318	CL0067	Ribosomal protein S2	228.0	345.07
GcpE_C	PF26540		GcpE protein C-terminal domain	89.0	118.72
tRNA_synt_2f	PF02092		Glycyl-tRNA synthetase beta subunit	549.0	699.55
5-FTHF_cyc-lig	PF01812	CL0063	5-formyltetrahydrofolate cyclo-ligase family	190.0	114.06
Cu_amine_oxidN1	PF07833		Copper amine oxidase N-terminal domain	108.0	126.85
N6_Mtase	PF02384	CL0063	N-6 DNA Methylase	234.0	60.67
FTSW_RODA_SPOVE	PF01098	CL0142	Cell cycle protein	374.0	272.04
Glyco_hydro_65N	PF03636	CL0103	Glycosyl hydrolase family 65, N-terminal domain	237.0	172.06
adh_short_C2	PF13561	CL0063	Enoyl-(Acyl carrier protein) reductase	242.0	202.1
HxsD	PF27806		His-Xaa-Ser system protein HxsD	91.0	59.29
Glyco_hydro_38C	PF07748	CL0103	Glycosyl hydrolases family 38 C-terminal domain	244.0	63.45
LeuA_dimer	PF08502		LeuA allosteric (dimerisation) domain	133.0	101.33
KH_KhpA-B	PF13083	CL0007	KhpA/KhpB, KH domain	73.0	39.47
TENA_THI-4	PF03070	CL0230	TENA/THI-4/PQQC family	209.0	134.19
LXG	PF04740	CL0352	LXG domain of WXG superfamily	194.0	74.05
DUF915	PF06028	CL0028	Alpha/beta hydrolase of unknown function (DUF915)	251.0	254.46
B3_4	PF03483	CL0383	B3/4 domain	158.0	87.78
UvrC_M	PF27096		UvrC/Cho excinuclease, middle domain	92.0	42.09
TRAM	PF01938	CL0021	TRAM domain	55.0	41.47
CitF	PF04223	CL0063	Citrate lyase, alpha subunit (CitF)	466.0	640.77
CPSase_L_D2	PF02786	CL0179	Carbamoyl-phosphate synthase L chain, ATP binding domain	210.0	251.83
DUF5050	PF16472	CL0186	Domain of unknown function (DUF5050)	204.0	100.37
PGM_PMM_I	PF02878	CL0754	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	137.0	151.13
FtsA	PF14450	CL0108	Cell division protein FtsA	351.0	61.59
SseF	PF28311		Type III secretion systems effector SseF/SseG family	112.0	23.25
Peptidase_M3_N	PF08439		Oligopeptidase F	68.0	55.02
AhpC-TSA	PF00578	CL0172	AhpC/TSA family	117.0	66.0
Transp_cyt_pur	PF02133	CL0062	Permease for cytosine/purines, uracil, thiamine, allantoin	384.0	140.02
Ribosomal_S4	PF00163	CL0492	Ribosomal protein S4/S9 N-terminal domain	89.0	92.06
tRNA-synt_2	PF00152	CL0040	tRNA synthetases class II (D, K and N)	339.0	318.54
DUF6501	PF20111		Family of unknown function (DUF6501)	67.0	127.16
AlaDh_PNT_C	PF01262	CL0063	Alanine dehydrogenase/PNT, C-terminal domain	212.0	252.35
GGDEF_GdpP	PF24898	CL0276	Cyclic-di-AMP phosphodiesterase GdpP-like, GGDEF domain	127.0	79.57
Glycos_transf_1	PF00534	CL0113	Glycosyl transferases group 1	164.0	25.93
SWI2_SNF2	PF18766	CL0023	SWI2/SNF2 ATPase	243.0	241.05
RNase_H	PF00075	CL0219	RNase H	156.0	82.69
PPK2	PF03976	CL0023	Polyphosphate kinase 2 (PPK2)	225.0	256.54
DXPR_C	PF13288	CL0063	DXP reductoisomerase C-terminal domain	119.0	143.33
Glycos_transf_4	PF00953		Glycosyl transferase family 4	170.0	110.4
HD	PF01966	CL0237	HD domain	122.0	37.36
Rce1-like	PF02517	CL0472	Type II CAAX prenyl endopeptidase Rce1-like	96.0	62.92
rRNA_methylase	PF06962	CL0063	Putative rRNA methylase	139.0	166.81
tRNA_anti_2	PF13742	CL0021	OB-fold nucleic acid binding domain	96.0	97.37
Alpha-mann_mid	PF09261	CL0599	Alpha mannosidase middle domain	97.0	48.14
Acetate_kinase	PF00871	CL0108	Acetokinase family	387.0	500.65
GATase_7	PF13537	CL0052	Glutamine amidotransferase domain	120.0	150.24
Trp_syntA	PF00290	CL0036	Tryptophan synthase alpha chain	258.0	281.03
HTH_28	PF13518	CL0123	Helix-turn-helix domain	51.0	26.81
fn3	PF00041	CL0159	Fibronectin type III domain	86.0	21.44
SBP_bac_1	PF01547	CL0177	Bacterial extracellular solute-binding protein	299.0	52.58
PUD	PF03714	CL0287	Bacterial pullanase-associated domain	205.0	63.66
Methyltrans_SAM	PF10672	CL0063	S-adenosylmethionine-dependent methyltransferase	217.0	88.76
SRP_SPB	PF02978	CL0123	Signal peptide binding domain	137.0	126.13
Cpn10	PF00166	CL0296	Chaperonin 10 Kd subunit	93.0	111.55
UxaC	PF02614	CL0036	Glucuronate isomerase	461.0	637.64
Phage_integrase	PF00589	CL0382	Phage integrase family	176.0	181.89
ACT_7	PF13840	CL0070	ACT domain	115.0	52.71
Smr	PF01713		Smr domain	76.0	89.09
DUF1980_C	PF21537		DUF1980 C-terminal domain	139.0	169.76
MgtE	PF01769		Divalent cation transporter	124.0	122.03
A24_N_bact	PF06750		Bacterial Peptidase A24 N-terminal domain	84.0	101.82
RRF	PF01765		Ribosome recycling factor	164.0	219.8
MGS	PF02142		MGS-like domain	87.0	63.21
GIDA	PF01134	CL0063	Glucose inhibited division protein A	393.0	547.01
RelA_SpoT	PF04607	CL0260	Region found in RelA / SpoT proteins	123.0	117.71
zf-FPG_IleRS	PF06827	CL0839	Zinc finger found in FPG and IleRS	30.0	42.54
Prim-Pol	PF09250		Bifunctional DNA primase/polymerase, N-terminal	159.0	82.76
RNase_J_C	PF17770		Ribonuclease J C-terminal domain	103.0	95.55
HTH_38	PF13936	CL0123	Helix-turn-helix domain	44.0	42.28
SDH_beta	PF03315	CL0697	Serine dehydratase beta chain	144.0	30.43
LOR	PF04525	CL0395	LURP-one-related	148.0	25.9
Pur_DNA_glyco	PF02245		Methylpurine-DNA glycosylase (MPG)	185.0	178.92
EAL	PF00563	CL0276	EAL domain	214.0	83.1
PurK_C	PF17769	CL0105	Phosphoribosylaminoimidazole carboxylase C-terminal domain	52.0	53.44
N6_N4_Mtase	PF01555	CL0063	DNA methylase	218.0	84.17
Glyco_hydro_2	PF00703	CL0159	Glycosyl hydrolases family 2	95.0	39.99
Acyl-ACP_TE_C	PF20791	CL0050	Acyl-ACP thioesterase C-terminal domain	96.0	118.73
DUF2691	PF10903		Protein of unknown function (DUF2691)	97.0	24.42
DUF1912	PF08930		Domain of unknown function (DUF1912)	84.0	148.18
RE_NgoFVII_C	PF20731	CL0405	NgoFVII C-terminal B3-like DNA-binding domain	88.0	27.74
Acetyltransf_3	PF13302	CL0257	Acetyltransferase (GNAT) domain	140.0	74.78
DUF1706	PF08020	CL0310	Protein of unknown function (DUF1706)	169.0	190.32
DAC	PF02457		DisA bacterial checkpoint controller nucleotide-binding	120.0	144.2
DUF1146	PF06612		Protein of unknown function (DUF1146)	48.0	73.15
Ham1p_like	PF01725	CL0269	Ham1 family	189.0	223.54
EndoU_bacteria	PF14436	CL0695	Bacterial EndoU nuclease	124.0	100.66
Glyco_hydro_36C	PF16874	CL0369	Glycosyl hydrolase family 36 C-terminal domain	132.0	39.22
Thia_YuaJ	PF09515	CL0315	Thiamine transporter protein (Thia_YuaJ)	176.0	189.09
HTH_7	PF02796	CL0123	Helix-turn-helix domain of resolvase	45.0	37.05
GA	PF01468	CL0598	GA module	53.0	40.88
UvrD-helicase	PF00580	CL0023	UvrD/REP helicase N-terminal domain	340.0	71.28
LapA_dom	PF06305		Lipopolysaccharide assembly protein A domain	63.0	53.18
HAAS	PF22564	CL0123	HAAS	51.0	33.6
FMN_dh	PF01070	CL0036	FMN-dependent dehydrogenase	194.0	61.56
PGM_PMM_II	PF02879	CL0754	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	102.0	48.01
Peptidase_M14	PF00246	CL0865	Zinc carboxypeptidase	112.0	17.55
SbcD_C	PF12320		Type 5 capsule protein repressor C-terminal domain	90.0	46.92
Glyco_hydro_3_C	PF01915		Glycosyl hydrolase family 3 C-terminal domain	231.0	171.9
FMN_red	PF03358	CL0042	NADPH-dependent FMN reductase	148.0	119.55
Peptidase_U32_C	PF16325	CL0866	Peptidase family U32 C-terminal domain	83.0	89.14
Gtf3_N	PF26334	CL0113	Glucosyltransferase 3-like, N-terminal domain	157.0	92.42
HMGL-like	PF00682	CL0036	HMGL-like	163.0	46.65
HSP33	PF01430		Hsp33 protein	285.0	285.66
T2SSF	PF00482		Type II secretion system (T2SS), protein F	123.0	55.64
DnaB_C	PF03796	CL0023	DnaB-like helicase C terminal domain	255.0	364.25
ACP_syn_III	PF08545	CL0046	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	79.0	78.55
GH85_C	PF21910	CL0159	GH85 endohexosaminidases, C-terminal domain	95.0	114.4
DUF3116	PF11313	CL0123	Protein of unknown function (DUF3116)	82.0	37.14
RecR_HhH	PF21176	CL0198	RecR, helix-hairpin-helix	45.0	47.47
UPF0236	PF06782	CL0219	Uncharacterised protein family (UPF0236)	395.0	78.74
tRNA-synt_His	PF13393	CL0040	Histidyl-tRNA synthetase	304.0	205.16
Staph_reg_Sar_Rot	PF22381	CL0123	Transcriptional regulator SarA/Rot	87.0	27.99
Flavokinase	PF01687	CL0866	Riboflavin kinase	124.0	137.65
PRA-CH	PF01502		Phosphoribosyl-AMP cyclohydrolase	74.0	125.49
PRA-PH	PF01503	CL0231	Phosphoribosyl-ATP pyrophosphohydrolase	87.0	81.95
LuxS	PF02664	CL0094	S-Ribosylhomocysteinase (LuxS)	146.0	176.78
SHMT	PF00464	CL0061	Serine hydroxymethyltransferase	378.0	564.98
NMN_transporter	PF04973		Nicotinamide mononucleotide transporter	182.0	84.31
Acyl_transf_1	PF00698	CL0323	Acyl transferase domain	285.0	74.88
IF3_C	PF00707		Translation initiation factor IF-3, C-terminal domain	86.0	115.74
AAA	PF00004	CL0023	ATPase family associated with various cellular activities (AAA)	137.0	50.57
YhfM	PF26353		YhfM protein	115.0	37.82
Vsr	PF03852	CL0236	DNA mismatch endonuclease Vsr	74.0	111.97
AMP-binding	PF00501	CL0378	AMP-binding enzyme	348.0	245.52
Ank_5	PF13857	CL0465	Ankyrin repeats (many copies)	32.0	7.61
ACT_9	PF22468	CL0070	ACT domain	61.0	79.98
YmdB	PF13277	CL0163	YmdB-like protein	249.0	320.08
RibD_C	PF01872	CL0387	RibD C-terminal domain	167.0	79.79
His_biosynth	PF00977	CL0036	Histidine biosynthesis protein	230.0	288.78
sCache_3_3	PF17202	CL0165	Single cache domain 3	110.0	34.36
BCA_ABC_TP_C	PF12399	CL0023	Branched-chain amino acid ATP-binding cassette transporter	27.0	43.72
LtaS_N	PF27449		Lipoteichoic acid synthase N-terminal domain	223.0	224.84
EF-G-binding_N	PF07299		Elongation factor G-binding protein, N-terminal	84.0	55.43
VTT_dom	PF09335		VTT domain	120.0	68.15
ParA	PF10609	CL0023	NUBPL iron-transfer P-loop NTPase	241.0	279.24
CRISPR_Cas9_WED	PF18061	CL0790	CRISPR-Cas9 WED domain	142.0	164.34
Ammonium_transp	PF00909		Ammonium Transporter Family	396.0	411.88
Helicase_C	PF00271	CL0023	Helicase conserved C-terminal domain	117.0	75.68
MscL	PF01741		Large-conductance mechanosensitive channel, MscL	120.0	122.57
DUF2200	PF09966		Uncharacterized protein conserved in bacteria (DUF2200)	110.0	160.41
Fer4_12	PF13353	CL0344	4Fe-4S single cluster domain	140.0	181.76
SLBB	PF10531	CL0072	SLBB domain	48.0	36.16
LexA_DNA_bind	PF01726	CL0123	LexA DNA binding domain	65.0	86.58
Abhydrolase_2	PF02230	CL0028	Phospholipase/Carboxylesterase	200.0	48.57
LGT	PF01790		Prolipoprotein diacylglyceryl transferase	244.0	259.59
TPR_2	PF07719	CL0020	Tetratricopeptide repeat	31.0	9.11
EamA	PF00892	CL0184	EamA-like transporter family	281.0	60.01
Cas_St_Csn2	PF16813	CL0023	CRISPR-associated protein Csn2 subfamily St	331.0	284.26
Dehydratase_LU	PF02286	CL0036	Dehydratase large subunit	552.0	1042.23
12TM_1	PF09847	CL0181	Membrane protein of 12 TMs	487.0	44.44
FemAB	PF02388	CL0257	FemAB family	388.0	404.43
Acyl-CoA_dh_M	PF02770		Acyl-CoA dehydrogenase, middle domain	96.0	85.06
SocA_Panacea	PF13274		Antitoxin SocA-like, Panacea domain	111.0	59.98
PMI_typeI_cat	PF20511	CL0029	Phosphomannose isomerase type I, catalytic domain	125.0	73.46
Gly_kinase	PF02595		Glycerate kinase family	365.0	411.35
CHAP	PF05257	CL0125	CHAP domain	87.0	80.52
Choline_bind_3	PF19127	CL0694	Choline-binding repeat	187.0	28.27
Methyltransf_3	PF01596	CL0063	O-methyltransferase	201.0	106.14
QRPTase_N	PF02749	CL0105	Quinolinate phosphoribosyl transferase, N-terminal domain	88.0	72.23
MCPsignal	PF00015		Methyl-accepting chemotaxis protein (MCP) signalling domain	184.0	156.74
Endonuclea_NS_2	PF13930	CL0263	DNA/RNA non-specific endonuclease	135.0	146.26
CofD	PF01933		2-phospho-L-lactate transferase CofD	285.0	307.31
BAAT_C	PF08840	CL0028	BAAT / Acyl-CoA thioester hydrolase C terminal	201.0	82.59
QRPTase_C	PF01729	CL0036	Quinolinate phosphoribosyl transferase, C-terminal domain	166.0	207.06
HisKA_7TM	PF16927	CL0192	N-terminal 7TM region of histidine kinase	220.0	85.39
Ribosomal_L12	PF00542		Ribosomal protein L7/L12 C-terminal domain	67.0	103.65
LYTB	PF02401		LytB protein	281.0	298.25
McrBC	PF10117	CL0236	McrBC 5-methylcytosine restriction system component	319.0	293.76
Glutaminase	PF04960	CL0013	Glutaminase	288.0	344.47
Ribosomal_L6	PF00347		Ribosomal protein L6	148.0	79.57
ArgJ	PF01960	CL0635	ArgJ family	382.0	467.83
MFS_1	PF07690	CL0015	Major Facilitator Superfamily	510.0	118.56
HHH_9	PF17674	CL0198	HHH domain	73.0	74.29
PAS_10	PF13596	CL0183	PAS domain	106.0	85.26
DUF150_C	PF17384	CL0010	RimP C-terminal SH3 domain	70.0	65.3
Phe_tRNA-synt_N	PF02912	CL0298	Aminoacyl tRNA synthetase class II, N-terminal domain	69.0	74.89
DUF1967	PF09269		Domain of unknown function (DUF1967)	69.0	89.61
Xan_ur_permease	PF00860	CL0062	Permease family	380.0	141.07
CM_2	PF01817		Chorismate mutase type II	79.0	73.83
FtsK_gamma	PF09397	CL0123	Ftsk gamma domain	63.0	90.48
DNA_gyraseB_C	PF00986		DNA gyrase B subunit, carboxyl terminus	63.0	103.09
YkzS	PF27074		YkzS-like protein	55.0	55.19
TrmB	PF01978	CL0123	Sugar-specific transcriptional regulator TrmB	68.0	81.04
TipAS	PF07739		TipAS antibiotic-recognition domain	116.0	103.05
ATP-synt_ab_N	PF02874	CL0866	ATP synthase alpha/beta family, beta-barrel domain	69.0	66.65
UPRTase	PF14681	CL0533	Uracil phosphoribosyltransferase	203.0	260.74
NusA_N	PF08529		NusA N-terminal domain	121.0	149.8
ArfC	PF27542		ArfC	55.0	27.72
DUF188	PF02639	CL0280	Uncharacterized BCR, YaiI/YqxD family COG1671	129.0	111.33
Hydrolase_3	PF08282	CL0137	haloacid dehalogenase-like hydrolase	258.0	223.33
Big_2	PF02368	CL0159	Bacterial Ig-like domain (group 2)	79.0	52.94
TGS	PF02824	CL0072	TGS domain	60.0	51.88
CYTH	PF01928	CL0273	CYTH domain	186.0	58.3
Gate	PF07670		Nucleoside recognition	135.0	55.25
IMPDH	PF00478	CL0036	IMP dehydrogenase / GMP reductase domain	321.0	225.4
DltD	PF04914	CL0264	DltD protein	346.0	382.94
SpaA	PF17802	CL0287	Prealbumin-like fold domain	174.0	71.11
FctA	PF12892	CL0287	Spy0128-like isopeptide containing domain	1074.0	56.56
tRNA_edit	PF04073		Aminoacyl-tRNA editing domain	127.0	84.56
Glyco_hydro_85	PF03644	CL0036	Glycosyl hydrolase family 85	314.0	244.84
ThuA	PF06283	CL0014	Trehalose utilisation	216.0	122.04
Bmp	PF02608	CL0144	ABC transporter substrate-binding protein PnrA-like	314.0	248.22
HTH_30	PF13556	CL0123	PucR C-terminal helix-turn-helix domain	58.0	57.22
TatC	PF00902		Sec-independent protein translocase protein (TatC)	205.0	178.8
SseB	PF07179		SseB protein N-terminal domain	138.0	19.41
Nitroreductase	PF00881	CL0529	Nitroreductase family	173.0	89.0
Phosphonate-bd	PF12974	CL0177	ABC transporter, phosphonate, periplasmic substrate-binding protein	257.0	199.5
YcaO	PF02624		YcaO cyclodehydratase, ATP-ad Mg2+-binding	313.0	192.13
Arg_repressor	PF01316	CL0123	Arginine repressor, DNA binding domain	69.0	79.99
Strep_his_triad	PF04270		Streptococcal histidine triad protein	51.0	65.31
Phosphorylase	PF00343	CL0113	Carbohydrate phosphorylase	675.0	795.31
AllG	PF06545		Oxamate carbamoyltransferase subunit AllG	216.0	305.97
Phos_pyr_kin	PF08543	CL0118	Phosphomethylpyrimidine kinase	248.0	262.21
TraC-like	PF26593	CL0910	Archaeal TraC-like domain	169.0	36.86
FAD_binding_7	PF03441		FAD binding domain of DNA photolyase	201.0	310.72
Mac	PF12464		Maltose acetyltransferase hexapeptide capping motif	52.0	56.82
MatC_N	PF07158	CL0182	Dicarboxylate carrier protein MatC N-terminus	148.0	205.07
YcxB	PF14317	CL0266	YcxB-like protein	62.0	41.53
TerC	PF03741	CL0292	Integral membrane protein TerC family	174.0	155.08
Bro-N	PF02498		BRO family, N-terminal domain	97.0	70.38
FAD_binding_6	PF00970	CL0866	Oxidoreductase FAD-binding domain	93.0	25.09
OB_DNA_ligase	PF03120	CL0021	NAD-dependent DNA ligase OB-fold domain	79.0	113.66
CPSase_L_D1	PF25596	CL0063	Carbamoyl phosphate synthase preATP-grasp domain	120.0	159.19
Trypsin_2	PF13365	CL0124	Trypsin-like peptidase domain	155.0	103.46
RecT	PF03837		RecT family	221.0	169.05
DNA_binding_1	PF01035	CL0123	6-O-methylguanine DNA methyltransferase, DNA binding domain	80.0	95.62
tRNA_synthFbeta	PF17759	CL0040	Phenylalanyl tRNA synthetase beta chain CLM domain	213.0	218.28
Gp_dh_C	PF02800	CL0139	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	157.0	170.68
Glyco_hydro_25	PF01183	CL0036	Glycosyl hydrolases family 25	184.0	112.07
SH3_3	PF08239	CL0010	Bacterial SH3 domain	53.0	38.53
RNA_pol_A_CTD	PF03118	CL0198	Bacterial RNA polymerase, alpha chain C terminal domain	75.0	100.45
PRK	PF00485	CL0023	Phosphoribulokinase / Uridine kinase family	187.0	161.3
UPF0167	PF03691		Uncharacterised protein family (UPF0167)	169.0	195.32
DUF402	PF04167		Protein of unknown function (DUF402)	140.0	125.88
S-AdoMet_synt_C	PF02773		S-adenosylmethionine synthetase, C-terminal domain	140.0	233.09
MMR_HSR1	PF01926	CL0023	50S ribosome-binding GTPase	124.0	82.47
Peripla_BP_2	PF01497	CL0043	Periplasmic binding protein	238.0	134.44
F_bP_aldolase	PF01116	CL0036	Fructose-bisphosphate aldolase class-II	307.0	344.49
AAA_15	PF13175	CL0023	AAA ATPase domain	391.0	146.88
Ribosomal_S9	PF00380	CL0329	Ribosomal protein S9/S16	121.0	168.16
Ketoacyl-synt_C	PF02801	CL0046	Beta-ketoacyl synthase, C-terminal domain	116.0	127.48
AA_permease	PF00324	CL0062	Amino acid permease	421.0	261.47
PTS_EIIA_1	PF00358	CL0105	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	128.0	156.47
ABC_trans_CmpB	PF06541		Putative ABC-transporter type IV	155.0	169.29
Glyco_hydro_38N	PF01074	CL0158	Glycosyl hydrolases family 38 N-terminal domain	275.0	147.55
MNHE	PF01899		Na+/H+ ion antiporter subunit	150.0	111.18
GalP_UDP_transf	PF01087	CL0265	Galactose-1-phosphate uridyl transferase, N-terminal domain	211.0	130.06
H2O2_YaaD	PF03883	CL0771	Peroxide stress protein YaaA	235.0	261.36
5_3_exonuc	PF01367	CL0464	5'-3' exonuclease, C-terminal SAM fold	97.0	113.59
Dus	PF01207	CL0036	Dihydrouridine synthase (Dus)	303.0	158.98
CLP_protease	PF00574	CL0127	Clp protease	182.0	286.56
Na_Ala_symp	PF01235	CL0062	Sodium:alanine symporter family	396.0	463.03
SIR2	PF02146	CL0063	Sir2 family	178.0	165.66
RecG_wedge	PF17191	CL0021	RecG wedge domain	156.0	47.8
HTH_Rpn_C	PF27070	CL0123	Rpn/YhgA-like nuclease family, C-terminal HTH domain	37.0	24.59
PilM_2	PF11104	CL0108	Type IV pilus assembly protein PilM;	152.0	56.46
Glyco_hydro_77	PF02446	CL0036	4-alpha-glucanotransferase	470.0	563.34
Ribosom_S30AE_C	PF16321		Sigma 54 modulation/S30EA ribosomal protein C terminus	57.0	99.68
GalKase_gal_bdg	PF10509	CL0329	Galactokinase galactose-binding signature	50.0	77.98
DNA_pol3_a_NII	PF11490	CL0494	DNA polymerase III polC-type N-terminus II	116.0	33.34
Rubrerythrin	PF02915	CL0044	Rubrerythrin	132.0	95.08
Peptidase_M29	PF02073	CL0905	Thermophilic metalloprotease (M29)	406.0	522.94
Cas9_REC	PF16592	CL0693	REC lobe of CRISPR-associated endonuclease Cas9	246.0	290.51
ABC-3	PF00950	CL0142	ABC 3 transport family	259.0	243.84
DUF2806	PF10987		Protein of unknown function (DUF2806)	202.0	125.54
Peptidase_C39_2	PF13529	CL0125	Peptidase_C39 like family	193.0	111.8
Zn_ribbon_ISL3	PF14690	CL0167	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	47.0	30.98
RNase_J_b_CASP	PF22505		Ribonuclease J, beta-CASP domain	127.0	83.51
GPDPase_memb	PF10110	CL0855	Membrane domain of glycerophosphoryl diester phosphodiesterase	331.0	256.54
Glyco_transf_5	PF08323	CL0113	Starch synthase catalytic domain	236.0	288.22
DUF1836	PF08876	CL0123	Domain of unknown function (DUF1836)	100.0	99.8
Ribosomal_S3_C	PF00189		Ribosomal protein S3, C-terminal domain	83.0	130.07
FloA	PF12127		Flotillin-like protein FloA	315.0	534.19
DUF2089	PF09862	CL0123	Domain of unknown function (DUF2089)-HTH	47.0	65.18
TetR_C_39	PF21303	CL0174	Tetracyclin repressor-like, C-terminal domain	89.0	24.59
Portal_Mu	PF06074	CL0838	Portal protein of Mu bacteriophage	342.0	94.34
MarR	PF01047	CL0123	MarR family	50.0	31.86
Carboxyl_trans	PF01039	CL0127	Carboxyl transferase domain	200.0	51.6
ABC_tran_CTD	PF16326		ABC transporter C-terminal domain	66.0	32.84
PBECR2	PF18810	CL0688	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease2	121.0	55.56
Rubredoxin	PF00301	CL0167	Rubredoxin	47.0	62.02
Recombinase	PF07508	CL0123	Recombinase	87.0	61.58
ABG_transport	PF03806	CL0182	AbgT putative transporter family	505.0	615.39
PduV-EutP	PF10662	CL0023	Ethanolamine utilisation - propanediol utilisation	143.0	189.83
Glyco_hydro_4C	PF11975	CL0341	Family 4 glycosyl hydrolase C-terminal domain	224.0	188.68
Asparaginase_C	PF17763		Glutaminase/Asparaginase C-terminal domain	116.0	106.01
DUF438	PF04282		Family of unknown function (DUF438)	67.0	78.22
EpuA	PF11772		DNA-directed RNA polymerase subunit beta	44.0	58.05
PEP-utilizers_C	PF02896	CL0036	PEP-utilising enzyme, PEP-binding domain	295.0	439.06
Tad2-like	PF11195		Thoeris anti-defense 2-like domain	68.0	67.06
DHODB_Fe-S_bind	PF10418	CL0486	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	42.0	61.73
Couple_hipA	PF13657		HipA N-terminal domain	93.0	27.05
Endonuclease_NS	PF01223	CL0263	DNA/RNA non-specific endonuclease	216.0	54.54
PP_kinase_C_1	PF17941	CL0479	Polyphosphate kinase C-terminal domain 1	167.0	264.09
WxLIP_PGBD	PF06030	CL0159	WxL Interacting Protein, peptidoglycan binding domain	120.0	106.71
FtsX_ECD	PF18075	CL0032	FtsX extracellular domain	121.0	76.66
DNA_ligase_ZBD	PF03119		NAD-dependent DNA ligase C4 zinc finger domain	27.0	44.45
STAS	PF01740	CL0502	STAS domain	106.0	73.95
OMPdecase	PF00215	CL0036	Orotidine 5'-phosphate decarboxylase / HUMPS family	183.0	75.42
DUF5960	PF19385		Family of unknown function (DUF5960)	78.0	47.69
DltX	PF12459		D-Ala-teichoic acid biosynthesis protein	43.0	62.06
Pyr_redox_2	PF07992	CL0063	Pyridine nucleotide-disulphide oxidoreductase	296.0	158.18
Hepar_II_III_C	PF07940	CL0103	Heparinase II/III-like, C-terminal	235.0	35.09
IGPD	PF00475	CL0329	Imidazoleglycerol-phosphate dehydratase	144.0	225.19
ArsC	PF03960	CL0172	ArsC family	108.0	71.56
NAD_binding_7	PF13241	CL0063	Putative NAD(P)-binding	109.0	76.69
Transketolase_N	PF00456	CL0254	Transketolase, thiamine diphosphate binding domain	334.0	480.64
Tautomerase	PF01361	CL0082	Tautomerase enzyme	56.0	50.57
AI-2E_transport	PF01594		AI-2E family transporter	344.0	225.66
NERD	PF08378	CL0236	Nuclease-related domain	108.0	40.69
DUF6376	PF19903		Family of unknown function (DUF6376)	111.0	28.56
Amidohydro_3	PF07969	CL0036	Amidohydrolase family	491.0	294.87
DUF4044	PF13253		Protein of unknown function (DUF4044)	33.0	49.19
Glycos_trans_3N	PF02885		Glycosyl transferase family, helical bundle domain	63.0	72.69
PAS_4	PF08448	CL0183	PAS fold	110.0	26.68
NadA	PF02445		Quinolinate synthetase A protein	294.0	396.34
DUF3502	PF12010		Domain of unknown function (DUF3502)	69.0	103.45
Peptidase_S58	PF03576	CL0635	Peptidase family S58	316.0	357.98
WCX	PF25583		WCX domain	79.0	38.11
Cna_B	PF05738	CL0287	Cna protein B-type domain	86.0	46.3
Hydrolase_like	PF13242	CL0137	HAD-hyrolase-like	75.0	74.52
UVR	PF02151	CL0671	UvrB/uvrC motif	34.0	35.59
Sigma70_r2	PF04542	CL0123	Sigma-70 region 2	71.0	87.33
DUF2785	PF10978		Protein of unknown function (DUF2785)	166.0	79.75
DUF34_NIF3	PF01784		Duf34/NIF3 (NGG1p interacting factor 3)	366.0	286.71
CRISPR_Cse2	PF09485		CRISPR-associated protein Cse2 (CRISPR_cse2)	155.0	101.74
DUF5906	PF19263	CL0023	Family of unknown function (DUF5906)	114.0	78.13
DXP_reductoisom	PF02670	CL0063	1-deoxy-D-xylulose 5-phosphate reductoisomerase	125.0	134.2
PALP	PF00291	CL0063	Pyridoxal-phosphate dependent enzyme	288.0	263.33
HI0933_like	PF03486	CL0063	HI0933-like protein Rossmann domain	411.0	306.24
Phage_holin_6_1	PF09682		Bacteriophage holin of superfamily 6 (Holin_LLH)	101.0	126.85
DNA_alkylation	PF08713	CL0020	DNA alkylation repair enzyme	213.0	216.74
cNMP_binding	PF00027	CL0029	Cyclic nucleotide-binding domain	89.0	52.91
RepA_N	PF06970	CL0123	Replication initiator protein A (RepA) N-terminus	108.0	74.61
bPH_2	PF03703	CL0266	Bacterial PH domain	77.0	68.78
6PGD	PF00393	CL0106	6-phosphogluconate dehydrogenase, C-terminal domain	291.0	449.53
Mannitol_dh	PF01232	CL0063	Mannitol dehydrogenase Rossmann domain	267.0	49.02
LicD	PF04991	CL0260	LicD family	226.0	176.31
3HCDH_N	PF02737	CL0063	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	180.0	205.51
