domain_id	Accession_pfam	Clan_pfam	EC_phrog	Function_pfam	Function_phrog	L1_phrog	alignment_length	bit_score
phrog_11244					hypothetical	unknown function	118.0	256.16
GATase_6	PF13522	CL0052		Glutamine amidotransferase domain			122.0	55.77
phrog_5474					hypothetical	unknown function	120.0	155.23
HATPase_c	PF02518	CL0025		Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase			147.0	37.56
phrog_1005					major head protein	head and packaging	339.0	286.25
phrog_2358					hypothetical	unknown function	159.0	54.23
UvrD_C	PF13361	CL0023		UvrD-like helicase C-terminal domain			181.0	41.51
phrog_2315					hypothetical	unknown function	96.0	75.59
phrog_20588					hypothetical	unknown function	115.0	260.2
phrog_4401					hypothetical	unknown function	98.0	182.53
DUF3799	PF12684	CL0236		PDDEXK-like domain of unknown function (DUF3799)			281.0	66.61
DUF2201_N	PF13203	CL0126		Putative metallopeptidase domain			331.0	64.02
phrog_530					head maturation protease	head and packaging	366.0	349.04
phrog_4593					hypothetical	unknown function	92.0	187.4
phrog_124					Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	250.0	156.22
phrog_22006					hypothetical	unknown function	48.0	105.96
DUF2737	PF10930			Protein of unknown function (DUF2737)			42.0	35.72
Laminin_G_3	PF13385	CL0004		Concanavalin A-like lectin/glucanases superfamily			160.0	26.05
phrog_1777					hypothetical	unknown function	86.0	142.39
phrog_30479					hypothetical	unknown function	74.0	128.72
phrog_6599					hypothetical	unknown function	248.0	388.46
phrog_3007					RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	172.0	195.59
phrog_6060					anti-termination protein Q-like	transcription regulation	61.0	112.56
phrog_743					single strand DNA binding protein	DNA, RNA and nucleotide metabolism	265.0	253.42
phrog_11551					hypothetical	unknown function	63.0	160.86
phrog_325					Dda-like helicase	DNA, RNA and nucleotide metabolism	439.0	545.46
phrog_1140					baseplate hub distal subunit	tail	177.0	277.93
phrog_17630					hypothetical	unknown function	84.0	182.3
phrog_23204					hypothetical	unknown function	74.0	166.36
phrog_2533					hypothetical	unknown function	1140.0	2422.78
phrog_335					phosphatase	other	155.0	209.23
phrog_8940					capsid assembly protein	tail	201.0	445.84
phrog_2376					ATPase	other	381.0	361.41
phrog_2239					hypothetical	unknown function	89.0	210.65
phrog_10457					endolysin	lysis	90.0	133.95
phrog_9599					hypothetical	unknown function	63.0	133.65
AAA_15	PF13175	CL0023		AAA ATPase domain			260.0	27.07
phrog_2118					HNH endonuclease	DNA, RNA and nucleotide metabolism	157.0	158.25
PHP	PF02811	CL0036		PHP domain			119.0	25.57
phrog_1283					baseplate hub subunit and tail length	tail	590.0	835.49
phrog_37481					hypothetical	unknown function	37.0	83.1
phrog_27262					hypothetical	unknown function	78.0	175.19
DUF2201	PF09967	CL0128		VWA-like domain (DUF2201)			137.0	41.67
phrog_1740					RNA polymerase sigma factor	transcription regulation	214.0	171.94
phrog_4215					hypothetical	unknown function	145.0	249.91
phrog_67					DNA methyltransferase	other	421.0	145.74
phrog_16534					tail fiber protein	tail	322.0	726.24
phrog_16641					tail fiber protein	tail	203.0	139.86
DUF6453	PF20051			Family of unknown function (DUF6453)			289.0	378.84
phrog_219					baseplate wedge subunit	tail	644.0	739.69
dUTPase	PF00692	CL0153		dUTPase			131.0	65.19
phrog_26840					hypothetical	unknown function	128.0	211.33
phrog_4348					hypothetical	unknown function	134.0	246.24
Major_capside	PF09950	CL0373		Major capsid protein			234.0	122.17
phrog_174					dCMP deaminase	DNA, RNA and nucleotide metabolism	193.0	222.41
phrog_6466					DNA ligase	DNA, RNA and nucleotide metabolism	109.0	148.35
phrog_2529					hypothetical	unknown function	88.0	59.98
phrog_2135					DNA primase	DNA, RNA and nucleotide metabolism	715.0	1204.91
phrog_1169					hypothetical	unknown function	72.0	111.09
Metallophos_2	PF12850	CL0163		Calcineurin-like phosphoesterase superfamily domain			152.0	28.27
phrog_2480					hypothetical	unknown function	141.0	151.36
phrog_2333					unknown function	unknown function	182.0	129.5
Fn3-II_PB4	PF24170	CL0159		Straight fiber protein PB4 second Fn3-like domain			95.0	120.37
phrog_138					major head protein	head and packaging	521.0	601.31
Phage_Inh_N	PF26097			Phage inhibitor of prohead protease N-terminal domain			51.0	75.47
Rep3_N	PF01051	CL0123		Initiator Replication protein, WH1			163.0	23.7
Phage_tail_C_2	PF25670			Phage tail protein C-terminal domain			133.0	196.21
phrog_1017					hypothetical	unknown function	183.0	175.68
phrog_19025					hypothetical	unknown function	54.0	28.88
phrog_31464					hypothetical	unknown function	53.0	125.65
phrog_21889					hypothetical	unknown function	161.0	282.58
phrog_14793					hypothetical	unknown function	89.0	158.58
phrog_281					PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover	97.0	137.19
phrog_3945					Hoc-like head decoration	head and packaging	152.0	286.34
phrog_12418					hypothetical	unknown function	108.0	240.68
AGT	PF11440	CL0113		DNA alpha-glucosyltransferase			355.0	856.49
phrog_606					terminase small subunit	head and packaging	168.0	187.33
Phage_cap_P2	PF05125	CL0373		Phage major capsid protein, P2 family			333.0	504.87
Gp138_C	PF21930	CL0606		Gp138, beta helical trimerization domain			75.0	52.67
RNA_pol	PF00940			DNA-dependent RNA polymerase			440.0	337.38
phrog_2032					tail fiber assembly protein	tail	144.0	281.12
phrog_17029					hypothetical	unknown function	165.0	351.38
Phage_spike	PF18715	CL0606		Phage spike trimer			68.0	76.85
phrog_3350					hypothetical	unknown function	37.0	90.97
phrog_21159					hypothetical	unknown function	103.0	103.41
phrog_16551					hypothetical	unknown function	136.0	251.73
phrog_2458					hypothetical	unknown function	80.0	134.75
Phage_Wedge1	PF11041			Bacteriophage baseplate wedge 1 protein			144.0	12.15
Tube	PF17212	CL0643		Tail tubular protein			168.0	230.94
DUF7277	PF23942			Domain of unknown function (DUF7277)			100.0	89.06
XM1_gp53_minor_capsid	PF23982	CL0845		XM1 gp53 minor capsid protein			146.0	94.45
phrog_2167					inhibitor of host Lon protease	other	152.0	227.19
NUMOD4	PF07463			NUMOD4 motif			44.0	28.17
phrog_1322					membrane protein	moron, auxiliary metabolic gene and host takeover	88.0	112.02
DUF3850	PF12961	CL0178		Domain of unknown function (DUF3850)			72.0	60.95
phrog_2141					hypothetical	unknown function	318.0	495.86
Fic	PF02661			Fic/DOC family			82.0	37.7
phrog_17900					hypothetical	unknown function	169.0	302.15
RNase_H_2	PF13482	CL0219		RNase_H superfamily			111.0	18.91
Arm-DNA-bind_1	PF09003	CL0081		Bacteriophage lambda integrase, Arm DNA-binding domain			69.0	111.99
phrog_1297					ATPase	other	394.0	367.36
phrog_10617					hypothetical	unknown function	62.0	125.11
phrog_13316					hypothetical	unknown function	68.0	60.74
Tevenvirinae_ADPRT	PF26846			Tevenvirinae NAD(+)--arginine ADP-ribosyltransferase family			116.0	141.45
phrog_1725					DNA binding protein	DNA, RNA and nucleotide metabolism	136.0	171.8
phrog_20065					hypothetical	unknown function	68.0	138.05
Phage_phiTE_241_C	PF26209			Putative phage tail fibre C-terminal domain			84.0	87.88
phrog_5107					amidase	lysis	240.0	51.33
phrog_10946					hypothetical	unknown function	133.0	229.23
phrog_1851					PmgC-like head morphogenesis	head and packaging	183.0	340.87
phrog_13236					hypothetical	unknown function	61.0	87.88
phrog_11936					hypothetical	unknown function	97.0	204.39
DUF7290	PF23962			Domain of unknown function (DUF7290)			82.0	121.65
phrog_15876					hypothetical	unknown function	41.0	111.57
phrog_1045					hypothetical	unknown function	60.0	112.99
phrog_13738					membrane protein	moron, auxiliary metabolic gene and host takeover	94.0	200.5
TA_inhibitor	PF17574			Inhibitor of toxin/antitoxin system (Gp4.5)			89.0	207.5
phrog_12457					hypothetical	unknown function	109.0	243.87
Phage_tail_3	PF08813	CL0504		Phage tail tube protein, TTP			165.0	227.1
phrog_4965					hypothetical	unknown function	83.0	136.67
Tail_P2_I	PF09684			Phage tail protein (Tail_P2_I)			137.0	190.25
phrog_10737					hypothetical	unknown function	99.0	142.94
phrog_252					Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	260.0	443.26
phrog_20931					hypothetical	unknown function	70.0	160.72
phrog_9938					hypothetical	unknown function	152.0	297.28
Gp45_2	PF17470			Phage gene product 45.2			55.0	84.64
phrog_2684					hypothetical	unknown function	116.0	174.95
ResIII	PF04851	CL0023		Type III restriction enzyme, res subunit			156.0	60.6
phrog_13689					hypothetical	unknown function	55.0	126.71
P22_Cro	PF14549	CL0123		DNA-binding transcriptional regulator Cro			34.0	25.86
phrog_2210					hypothetical	unknown function	66.0	129.19
phrog_1119					Cor superinfection exclusion protein	moron, auxiliary metabolic gene and host takeover	75.0	88.55
Gly_radical	PF01228	CL0339		Glycine radical			56.0	65.46
phrog_551					DNA topoisomerase II	DNA, RNA and nucleotide metabolism	442.0	702.63
NinD	PF17466			Family of unknown function			57.0	140.29
phrog_17085					hypothetical	unknown function	117.0	266.89
RNaseH_C	PF09293	CL0464		T4 RNase H, C terminal			123.0	232.82
phrog_12370					hypothetical	unknown function	126.0	294.08
Lambda_ea8_5	PF20735			Bacteriophage lambda ea8.5-related domain			86.0	164.09
phrog_8108					hypothetical	unknown function	47.0	26.09
phrog_464					unknown function	unknown function	95.0	124.52
phrog_17615					hypothetical	unknown function	116.0	234.6
phrog_22473					hypothetical	unknown function	201.0	436.28
phrog_38236					hypothetical	unknown function	70.0	52.6
Peptidase_S24	PF00717	CL0299		Peptidase S24-like			123.0	100.0
DUF8047	PF26220			Family of unknown function (DUF8047)			63.0	83.95
phrog_205					tail sheath	tail	451.0	394.96
phrog_34533					hypothetical	unknown function	84.0	58.02
phrog_2650					hypothetical	unknown function	118.0	160.38
Phage_lysis	PF03245	CL0331		Bacteriophage Rz lysis protein			125.0	183.04
Phage_RB18_ORF43	PF25760			Phage RB18 ORF43.1 protein			69.0	110.98
phrog_3747					hypothetical	unknown function	83.0	168.35
Head_binding	PF09008			Head binding			113.0	219.71
phrog_6314					hypothetical	unknown function	67.0	80.98
phrog_51					terminase small subunit	head and packaging	195.0	28.21
phrog_430					baseplate hub subunit and tail lysozyme	tail	576.0	686.23
phrog_31152					hypothetical	unknown function	46.0	46.67
phrog_1391					hypothetical	unknown function	86.0	116.79
DUF5516	PF17637			Family of unknown function (DUF5516)			37.0	63.94
phrog_2283					hypothetical	unknown function	60.0	128.24
phrog_2125					virion structural protein	head and packaging	235.0	300.07
phrog_1871					hypothetical	unknown function	44.0	78.15
phrog_2109					hypothetical	unknown function	230.0	337.5
phrog_19184					hypothetical	unknown function	41.0	90.82
Imm_superinfect	PF14373			Superinfection immunity protein			42.0	57.54
phrog_22298					hypothetical	unknown function	152.0	368.03
DUF2213	PF09979	CL0201		Uncharacterized protein conserved in bacteria (DUF2213)			180.0	69.58
phrog_4630					DNA primase	DNA, RNA and nucleotide metabolism	556.0	851.83
phrog_7327					hypothetical	unknown function	174.0	266.22
DUF5480	PF17576			Family of unknown function (DUF5480)			71.0	167.4
phrog_28140					hypothetical	unknown function	42.0	88.3
DUF7566	PF24450			Family of unknown function (DUF7566)			336.0	375.76
phrog_423					endonuclease VII	DNA, RNA and nucleotide metabolism	157.0	182.64
phrog_3402					antitoxin from a toxin-antitoxin system	moron, auxiliary metabolic gene and host takeover	56.0	135.81
phrog_15251					hypothetical	unknown function	35.0	92.83
phrog_4297					Rz-like spanin	lysis	130.0	161.73
P2_Phage_GpR	PF06891	CL0691		P2 phage tail completion protein R (GpR)			132.0	153.45
phrog_22194					hypothetical	unknown function	92.0	213.65
phrog_17726					hypothetical	unknown function	35.0	97.58
phrog_2599					ribosomal protein S6 glutaminyl transferase	moron, auxiliary metabolic gene and host takeover	397.0	331.8
phrog_12725					hypothetical	unknown function	82.0	186.07
phrog_13931					hypothetical	unknown function	47.0	119.68
phrog_11405					hypothetical	unknown function	58.0	133.64
Phage_T4_gp2	PF26869			Phage T4 terminal DNA protecting protein			254.0	450.35
phrog_21459					hypothetical	unknown function	111.0	239.1
phrog_37					tail terminator	connector	131.0	209.03
phrog_797					hypothetical	unknown function	113.0	145.98
phrog_6578					tail fiber protein	tail	1305.0	984.1
phrog_18166					hypothetical	unknown function	92.0	112.65
phrog_782					hypothetical	unknown function	124.0	140.11
phrog_10404					hypothetical	unknown function	43.0	108.92
phrog_20600					hypothetical	unknown function	78.0	189.4
phrog_419					hypothetical	unknown function	82.0	122.87
phrog_20174					hypothetical	unknown function	79.0	46.2
Phage_T4_Y04F	PF26806	CL0010		Phage T4 y04F-like family			56.0	114.09
phrog_3183					hypothetical	unknown function	81.0	147.57
Phage_T4_Y07B	PF27001			Bacteriophage T4 protein Y07B			88.0	109.59
phrog_259					gam-like host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover	98.0	197.19
LOH1CR12	PF10158			Tumour suppressor protein			90.0	26.15
phrog_28149					hypothetical	unknown function	30.0	93.86
phrog_1968					hypothetical	unknown function	103.0	174.62
phrog_8729					hypothetical	unknown function	87.0	148.73
phrog_1084					unknown function	unknown function	140.0	103.79
Acb1	PF23474	CL0247		Anti-CBASS protein Acb1			142.0	198.7
phrog_1723					recombinase	other	62.0	115.81
phrog_7366					hypothetical	unknown function	97.0	148.07
phrog_2716					hypothetical	unknown function	80.0	108.91
GP17	PF17420			Superinfection exclusion gene product 17			99.0	143.67
phrog_7266					hypothetical	unknown function	111.0	210.6
phrog_27210					hypothetical	unknown function	74.0	115.46
phrog_19577					minor head protein	head and packaging	118.0	28.92
phrog_5357					tail length tape measure protein	tail	73.0	157.3
phrog_8514					hypothetical	unknown function	203.0	279.83
phrog_234					late sigma transcription factor	transcription regulation	185.0	242.03
phrog_27					tail completion or Neck1 protein	connector	177.0	121.92
phrog_1692					unknown function	unknown function	61.0	119.59
phrog_1203					hypothetical	unknown function	197.0	295.94
Hom_end_hint	PF05203	CL0363		Hom_end-associated Hint			98.0	53.73
WYL	PF13280	CL0654		WYL domain			72.0	25.39
phrog_12130					hypothetical	unknown function	551.0	1189.11
Phage_P2_GpU	PF06995			Phage P2 GpU			120.0	150.59
phrog_15108					hypothetical	unknown function	55.0	133.96
phrog_1216					portal protein	head and packaging	718.0	993.26
phrog_38388					hypothetical	unknown function	75.0	186.33
phrog_349					virion structural protein	head and packaging	125.0	86.53
MUG113	PF13455	CL0418		Meiotically up-regulated gene 113			70.0	58.26
phrog_25318					hypothetical	unknown function	80.0	26.46
Phage_P1_RepL	PF26868			Phage P1 replication protein RepL			281.0	494.8
phrog_27111					hypothetical	unknown function	48.0	122.8
phrog_7670					hypothetical	unknown function	37.0	69.42
LysA	PF28015			Antiholin LysA-like			134.0	138.24
phrog_7864					hypothetical	unknown function	240.0	378.21
DUF7203	PF23833			Family of unknown function (DUF7203)			100.0	51.91
phrog_21392					hypothetical	unknown function	95.0	202.41
phrog_1832					released from the phage upon host infection	other	54.0	111.43
phrog_30425					hypothetical	unknown function	72.0	180.2
Phage_T4_Y06J	PF26834			Phage T4 Y06J protein			109.0	155.35
DUF7307	PF23984			Pam3 gp33-like protein			160.0	121.23
phrog_1745					DNA transfer protein	other	556.0	837.5
phrog_1818					hypothetical	unknown function	163.0	189.11
phrog_14433					hypothetical	unknown function	50.0	104.58
phrog_2267					hypothetical	unknown function	151.0	168.4
phrog_429					DNA end protector	DNA, RNA and nucleotide metabolism	274.0	315.05
phrog_22028					hypothetical	unknown function	130.0	300.48
phrog_5827					hypothetical	unknown function	64.0	112.71
phrog_1559					hypothetical	unknown function	262.0	451.85
phrog_267					major head protein	head and packaging	395.0	385.19
DUF968	PF06147	CL0263		Protein of unknown function (DUF968)			177.0	171.9
phrog_17339					protease	other	92.0	209.38
phrog_8111					internal virion protein	head and packaging	77.0	175.52
DUF669	PF05037			Protein of unknown function (DUF669)			132.0	34.38
phrog_22441					hypothetical	unknown function	50.0	134.14
phrog_2112					hypothetical	unknown function	71.0	142.91
phrog_25300					hypothetical	unknown function	95.0	168.81
phrog_14329					hypothetical	unknown function	105.0	237.35
phrog_10388					hypothetical	unknown function	54.0	110.7
Phage_int_M	PF22022	CL0469		Phage integrase central domain			94.0	33.83
phrog_170					PhoH-like phosphate starvation-inducible	other	261.0	240.0
phrog_15229					hypothetical	unknown function	57.0	131.19
phrog_1053					hypothetical	unknown function	271.0	330.41
phrog_1475					hypothetical	unknown function	108.0	191.88
phrog_2351					hypothetical	unknown function	340.0	511.43
Peptidase_S78_2	PF14550	CL0201		Putative phage serine protease XkdF			119.0	63.15
DUF7422	PF24197			Family of unknown function (DUF7422)			69.0	130.87
phrog_10428					L-glutamine-D-fructose-6-phosphate aminotransferase	other	471.0	923.03
Glyco_hydro_19	PF00182	CL0037		Chitinase class I			104.0	29.57
Phage_T4_IpIII	PF26861			Phage internal protein III			190.0	370.73
phrog_1613					tail assembly chaperone	tail	132.0	163.95
phrog_324					head morphogenesis	head and packaging	254.0	220.3
phrog_33163					hypothetical	unknown function	70.0	171.54
HTH_31	PF13560	CL0123		Helix-turn-helix domain			62.0	52.2
phrog_12046					hypothetical	unknown function	77.0	180.45
phrog_20900					tail spike protein	tail	222.0	167.67
phrog_247					major head protein	head and packaging	342.0	342.52
PC4	PF02229	CL0609		Transcriptional Coactivator p15 (PC4)			50.0	31.41
phrog_849					DNA primase	DNA, RNA and nucleotide metabolism	172.0	198.28
Antiholin	PF24205			T4-like virus antiholin family			97.0	72.02
MotCF	PF09158			Bacteriophage T4 MotA, C-terminal			103.0	123.96
phrog_557					outer membrane protein	other	100.0	110.85
phrog_5252					hypothetical	unknown function	60.0	148.42
phrog_1252					DNA polymerase	DNA, RNA and nucleotide metabolism	612.0	727.86
Gp5_OB	PF06714	CL0021		Gp5 N-terminal OB domain			141.0	219.75
phrog_824					hypothetical	unknown function	139.0	128.63
phrog_4030					hypothetical	unknown function	86.0	60.51
Caudo_TAP_N	PF28596			Tail fiber assembly protein, N-terminal domain			65.0	49.11
DUF7788	PF25043	CL0128		Domain of unknown function (DUF7788)			193.0	147.68
phrog_15686					hypothetical	unknown function	99.0	190.51
phrog_15892					hypothetical	unknown function	67.0	152.76
phrog_7648					hypothetical	unknown function	50.0	90.44
phrog_3781					hypothetical	unknown function	208.0	438.58
phrog_11868					hypothetical	unknown function	89.0	203.68
phrog_760					hypothetical	unknown function	428.0	468.96
phage_tail_N	PF08400	CL0287		Prophage tail fibre N-terminal			134.0	251.23
phrog_724					exonuclease recombination-associated	DNA, RNA and nucleotide metabolism	292.0	210.18
phrog_11902					hypothetical	unknown function	972.0	890.91
phrog_3931					hypothetical	unknown function	58.0	118.79
phrog_15992					hypothetical	unknown function	135.0	307.73
phrog_21570					hypothetical	unknown function	196.0	418.39
Dam	PF05869			DNA N-6-adenine-methyltransferase (Dam)			189.0	221.17
phrog_951					hypothetical	unknown function	105.0	136.42
Phage_depo_C	PF25692			Phage depolymerase C-terminal beta sandwich domain			97.0	25.6
E217_GP41	PF22759			Baseplate hub gp41			249.0	35.53
phrog_2206					virion RNA polymerase	DNA, RNA and nucleotide metabolism	3500.0	3982.41
phrog_2382					hypothetical	unknown function	51.0	111.95
phrog_5902					hypothetical	unknown function	387.0	424.12
phrog_8705					hypothetical	unknown function	70.0	85.86
phrog_678					replication initiation O-like	DNA, RNA and nucleotide metabolism	280.0	238.74
phrog_1504					hypothetical	unknown function	77.0	132.01
phrog_6408					hypothetical	unknown function	83.0	146.88
phrog_6003					hypothetical	unknown function	89.0	153.12
phrog_2510					hypothetical	unknown function	118.0	97.15
phrog_1035					endonuclease VII	DNA, RNA and nucleotide metabolism	204.0	103.93
phrog_9539					hypothetical	unknown function	65.0	126.63
phrog_26258					radical SAM domain-containing protein	other	70.0	170.36
phrog_5172					hypothetical	unknown function	272.0	423.47
phrog_646					unknown function	unknown function	122.0	241.39
DUF7412	PF24183			Family of unknown function (DUF7412)			157.0	330.37
T4_Spackle	PF25676			Bacteriophage T4 Spackle protein			96.0	138.02
phrog_4991					hypothetical	unknown function	85.0	101.55
phrog_15697					hypothetical	unknown function	64.0	142.35
phrog_8274					hypothetical	unknown function	191.0	313.71
phrog_12347					hypothetical	unknown function	66.0	166.47
phrog_5668					tail fiber protein	tail	503.0	139.53
phrog_9366					transposase	integration and excision	109.0	215.25
phrog_2274					unknown function	unknown function	175.0	369.32
phrog_12951					hypothetical	unknown function	156.0	329.2
phrog_10061					hypothetical	unknown function	74.0	137.34
phrog_2192					hypothetical	unknown function	87.0	162.23
phrog_25978					hypothetical	unknown function	108.0	249.91
YadA_anchor	PF03895	CL0193		YadA-like membrane anchor domain			60.0	68.39
I-TevI_DNA-bd	PF20987	CL0123		Intron-encoded endonuclease 1, DNA-binding domain			51.0	109.31
phrog_1					integrase	integration and excision	355.0	217.16
phrog_7066					hypothetical	unknown function	130.0	166.55
DNA_pol3_finger	PF17657			Bacterial DNA polymerase III alpha subunit finger domain			161.0	127.83
phrog_1435					unknown function	unknown function	308.0	354.61
phrog_9346					hypothetical	unknown function	61.0	85.1
phrog_7665					hypothetical	unknown function	61.0	120.69
DUF7274	PF23939			Domain of unknown function (DUF7274)			74.0	109.51
Phage_Adaptor_PhiTE	PF26075			Bacteriophage PhiTE adapter protein			167.0	152.88
phrog_4528					hypothetical	unknown function	182.0	291.81
DUF7210	PF23843			Domain of unknown function (DUF7210)			37.0	21.05
phrog_9294					hypothetical	unknown function	113.0	178.6
phrog_23061					hypothetical	unknown function	42.0	116.35
phrog_2140					hypothetical	unknown function	57.0	127.62
Cro	PF09048	CL0123		Cro			60.0	102.82
HNH	PF01844	CL0263		HNH endonuclease			49.0	24.81
phrog_3715					hypothetical	unknown function	73.0	124.87
phrog_11049					hypothetical	unknown function	95.0	185.66
phrog_26246					tail protein	tail	305.0	146.91
phrog_22950					hypothetical	unknown function	57.0	136.32
phrog_17007					hypothetical	unknown function	52.0	132.15
phrog_2667					internal head protein	head and packaging	102.0	147.85
Phage_hub_GP28	PF11110			Baseplate hub distal subunit			154.0	358.56
phrog_26798					hypothetical	unknown function	93.0	214.97
phrog_11084					hypothetical	unknown function	167.0	264.95
phrog_7202					hypothetical	unknown function	51.0	112.4
phrog_7684					hypothetical	unknown function	94.0	165.84
phrog_14152					hypothetical	unknown function	77.0	133.34
phrog_12230					hypothetical	unknown function	58.0	147.48
phrog_860					holin	lysis	217.0	359.93
phrog_3623					hypothetical	unknown function	61.0	113.29
phrog_424					phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover	139.0	52.99
SNF2-rel_dom	PF00176	CL0023		SNF2-related domain			229.0	41.99
YqeY	PF09424	CL0279		Yqey-like protein			138.0	30.25
phrog_18567					hypothetical	unknown function	83.0	174.8
Phage_T4_Ac	PF26944			Bacteriophage T4 protein ac			49.0	94.57
DUF5465	PF17553			Family of unknown function (DUF5465)			19.0	41.89
phrog_339					tail length tape measure protein	tail	1086.0	644.14
phrog_19286					hypothetical	unknown function	52.0	128.34
Anti-TRAP	PF15777	CL0895		Tryptophan RNA-binding attenuator protein inhibitory protein			51.0	29.06
phrog_7420					hypothetical	unknown function	92.0	179.44
phrog_717					hypothetical	unknown function	85.0	100.15
phrog_4414					hypothetical	unknown function	191.0	214.59
phrog_32					tail assembly protein	tail	190.0	230.37
phrog_9017					tail fiber protein	tail	157.0	223.75
Hydrolase	PF00702	CL0137		haloacid dehalogenase-like hydrolase			189.0	25.68
Phage_T4_gp36	PF03903			Phage T4 tail fibre			111.0	28.9
phrog_2008					hypothetical	unknown function	70.0	142.48
phrog_4549					tail fiber protein	tail	581.0	862.98
phrog_2052					unknown function	unknown function	80.0	126.31
phrog_449					head-tail adaptor	connector	524.0	747.52
phrog_7650					hypothetical	unknown function	116.0	189.68
DUF1799	PF08809			Phage related hypothetical protein (DUF1799)			81.0	58.86
phrog_206					head scaffolding protein	head and packaging	265.0	172.56
phrog_1152					Rz-like spanin	lysis	115.0	142.56
phrog_30053					hypothetical	unknown function	82.0	173.6
Phage_capsid	PF05065	CL0373		Phage capsid family			280.0	76.91
phrog_26870					hypothetical	unknown function	233.0	299.82
phrog_230					baseplate tail tube cap	tail	364.0	261.57
phrog_1699					long tail fiber protein distal subunit	tail	990.0	934.52
phrog_4442					hypothetical	unknown function	76.0	153.0
DUF3307	PF11750			Protein of unknown function (DUF3307)			112.0	46.2
phrog_4726					hypothetical	unknown function	92.0	201.66
phrog_10984					hypothetical	unknown function	109.0	215.83
phrog_9013					head scaffolding protein	head and packaging	361.0	608.76
phrog_72					NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism	146.0	211.28
DUF5681	PF18932			Family of unknown function (DUF5681)			84.0	54.25
phrog_7810					hypothetical	unknown function	101.0	50.67
phrog_7411					hypothetical	unknown function	59.0	114.82
phrog_4788					hypothetical	unknown function	58.0	113.37
Phage_lambda_P	PF06992			Replication protein P			161.0	208.19
phrog_8771					hypothetical	unknown function	153.0	227.06
phrog_1253					inhibitor of host transcription	transcription regulation	167.0	278.11
phrog_657					hypothetical	unknown function	68.0	161.55
phrog_9755					hypothetical	unknown function	61.0	80.83
phrog_3249					hypothetical	unknown function	65.0	114.38
phrog_4251					minor tail protein	tail	266.0	474.03
N4_RNAP_helical	PF21894			Bacteriophage N4 RNA polymerase, helical domain			218.0	274.86
phrog_13168					terminase	head and packaging	106.0	141.74
phrog_14179					glycosyltransferase	moron, auxiliary metabolic gene and host takeover	187.0	372.62
Phage_T5_RBP5	PF26860			Phage T5 Receptor-binding protein pb5 family			585.0	796.03
HTH_17	PF12728	CL0123		Helix-turn-helix domain			56.0	34.1
phrog_21018					hypothetical	unknown function	52.0	136.31
UvsW_N	PF21241			DNA helicase UvsW, N-terminal			81.0	139.19
phrog_10698					hypothetical	unknown function	85.0	160.42
phrog_15836					hypothetical	unknown function	47.0	114.88
phrog_4927					hypothetical	unknown function	80.0	88.36
Glyco_hydro_108	PF05838	CL0037		Glycosyl hydrolase 108			92.0	79.82
phrog_32259					hypothetical	unknown function	33.0	55.71
phrog_7239					hypothetical	unknown function	44.0	74.64
phrog_20789					hypothetical	unknown function	69.0	136.46
phrog_18974					hypothetical	unknown function	73.0	161.56
phrog_4532					hypothetical	unknown function	68.0	143.86
phrog_11437					hypothetical	unknown function	68.0	29.33
phrog_16065					hypothetical	unknown function	68.0	142.03
phrog_672					hypothetical	unknown function	56.0	120.97
phrog_1488					unknown function	unknown function	48.0	61.28
phrog_313					Tail assembly chaperone	tail	140.0	56.28
ddrB-ParB	PF18763	CL0248		ddrB-like ParB superfamily domain			134.0	135.95
DUF5481	PF17578			Family of unknown function (DUF5481)			103.0	237.37
phrog_18792					hypothetical	unknown function	55.0	47.89
phrog_4423					hypothetical	unknown function	86.0	167.39
phrog_3452					hypothetical	unknown function	57.0	114.91
DNAG_N	PF08275	CL0748		DNA primase catalytic core, N-terminal domain			60.0	27.61
phrog_109					P-like helicase loader	DNA, RNA and nucleotide metabolism	233.0	344.3
GPW_gp25	PF04965	CL0763		Baseplate wedge protein gp25			92.0	66.39
phrog_27367					tail fiber protein	tail	262.0	261.62
phrog_1502					hypothetical	unknown function	173.0	226.63
RlaP	PF10127	CL0260		RNA repair pathway DNA polymerase beta family			151.0	39.24
phrog_33262					phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover	286.0	314.84
phrog_2359					holin	lysis	96.0	104.26
phrog_9845					hypothetical	unknown function	94.0	203.63
phrog_2330					unknown function	unknown function	118.0	195.53
phrog_12794					hypothetical	unknown function	95.0	216.23
RE_endonuc	PF19778	CL0236		Endonuclease domain			112.0	88.73
phrog_11661					hypothetical	unknown function	104.0	219.24
phrog_9447					hypothetical	unknown function	111.0	202.79
phrog_16					DNA helicase	DNA, RNA and nucleotide metabolism	363.0	326.67
phrog_5211					hypothetical	unknown function	110.0	167.79
phrog_16431					hypothetical	unknown function	74.0	139.62
